PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANNO,MES,MEDIA_MAGS
1,59,9,17,1059009,2015,1,0.38619354838709663
1,59,9,17,1059009,2015,2,0.43632142857142847
1,59,9,17,1059009,2015,3,0.40899999999999986
1,59,9,17,1059009,2015,4,0.31306666666666655
1,59,9,17,1059009,2015,5,0.26603225806451614
12,40,15,17,12040015,2015,1,0.3385714285714285
3,65,7,17,3065007,2015,1,0.155
12,80,7,17,12080007,2015,1,0.030000000000000002
46,17,2,17,46017002,2015,1,0.2292857142857143
6,158,1,17,6158001,2015,1,0.04833333333333334
10,148,1,17,10148001,2015,1,2.3699999999999997
6,83,1,17,6083001,2015,1,0.07999999999999999
6,15,1,17,6015001,2015,1,0.062
12,99,1,17,12099001,2015,3,0.18200000000000002
46,78,4,17,46078004,2015,3,0.3015384615384616
46,220,9,17,46220009,2015,3,0.413
46,220,9,17,46220009,2015,2,0.14100000000000001
3,133,2,17,3133002,2015,3,0.165
12,84,3,17,12084003,2015,3,0.73
3,105,1,17,3105001,2015,3,0.11384615384615386
3,133,2,17,3133002,2015,2,0.14272727272727273
12,84,3,17,12084003,2015,2,0.335
46,250,50,17,46250050,2015,2,0.22
46,131,2,17,46131002,2015,2,0.13583333333333333
3,9,6,17,3009006,2015,2,0.11833333333333333
12,99,1,17,12099001,2015,2,0.098
12,32,5,17,12032005,2015,2,1.2083333333333333
3,65,6,17,3065006,2015,2,0.1372727272727273
46,250,43,17,46250043,2015,2,0.32666666666666666
46,190,5,17,46190005,2015,2,0.151
46,78,4,17,46078004,2015,2,0.21777777777777782
3,105,1,17,3105001,2015,2,0.09500000000000001
46,17,2,17,46017002,2015,2,0.24999999999999997
3,2,2,17,3002002,2015,2,0.15375000000000003
12,40,15,17,12040015,2015,2,0.265
12,46,1,17,12046001,2015,2,0.10500000000000001
12,80,7,17,12080007,2015,2,0.12666666666666668
12,5,4,17,12005004,2015,2,0.7044444444444445
12,124,1,17,12124001,2015,2,0.385
3,65,7,17,3065007,2015,2,0.13875
12,135,4,17,12135004,2015,2,0.8588888888888889
3,14,6,17,3014006,2015,2,0.14933333333333335
33,36,999,17,33036999,2015,1,0.13799999999999998
33,36,999,17,33036999,2015,2,0.17800000000000002
3,14,6,17,3014006,2015,1,0.2288235294117647
46,250,50,17,46250050,2015,1,0.5672727272727274
3,65,6,17,3065006,2015,1,0.2693333333333333
3,9,6,17,3009006,2015,1,0.07571428571428573
12,32,5,17,12032005,2015,1,0.813
46,220,9,17,46220009,2015,1,0.1992857142857143
12,124,1,17,12124001,2015,1,0.24375
46,131,2,17,46131002,2015,1,0.148
12,5,4,17,12005004,2015,1,0.6257142857142858
46,190,5,17,46190005,2015,1,0.21000000000000002
12,46,1,17,12046001,2015,1,0.084
12,99,1,17,12099001,2015,1,0.10769230769230773
3,2,2,17,3002002,2015,1,0.245
46,78,4,17,46078004,2015,1,0.22769230769230772
12,135,4,17,12135004,2015,1,0.66
46,250,43,17,46250043,2015,1,0.3385714285714285
12,84,3,17,12084003,2015,1,0.251
3,105,1,17,3105001,2015,1,0.10642857142857144
33,36,999,17,33036999,2015,3,0.182
33,36,999,17,33036999,2015,4,0.262
33,36,999,17,33036999,2015,5,0.092
8,19,28,17,8019028,2015,3,1.0
8,19,45,17,8019045,2015,3,1.0
8,19,54,17,8019054,2015,3,1.0
8,19,55,17,8019055,2015,3,1.0032258064516129
8,19,4,17,8019004,2015,3,1.0
8,19,42,17,8019042,2015,3,1.0045454545454546
8,19,43,17,8019043,2015,3,1.0064516129032257
8,19,44,17,8019044,2015,3,1.0
8,19,53,17,8019053,2015,3,1.0
25,51,1,17,25051001,2015,3,0.5525
8,22,6,17,8022006,2015,3,0.56
17,22,2,17,17022002,2015,3,0.56
17,27,2,17,17027002,2015,3,0.5733333333333333
8,54,1,17,8054001,2015,3,0.642
43,47,1,17,43047001,2015,3,0.57
8,102,5,17,8102005,2015,3,0.622
25,120,1,17,25120001,2015,3,0.56
8,112,3,17,8112003,2015,3,0.56
8,125,12,17,8125012,2015,3,0.63
8,169,8,17,8169008,2015,3,0.998
43,123,5,17,43123005,2015,3,0.55
8,196,1,17,8196001,2015,3,2.785
8,211,3,17,8211003,2015,3,0.99
8,263,6,17,8263006,2015,3,1.7475
43,44,3,17,43044003,2015,3,0.55
8,274,4,17,8274004,2015,3,0.5900000000000001
8,282,1,17,8282001,2015,3,0.595
8,307,6,17,8307006,2015,3,0.55
43,171,1,17,43171001,2015,3,0.5516666666666667
8,19,28,17,8019028,2015,4,1.0
8,19,45,17,8019045,2015,4,1.0
8,19,54,17,8019054,2015,4,1.0
8,19,55,17,8019055,2015,4,1.0
8,19,4,17,8019004,2015,4,1.0
8,19,42,17,8019042,2015,4,1.010344827586207
8,19,43,17,8019043,2015,4,1.0
8,19,44,17,8019044,2015,4,1.0
8,19,53,17,8019053,2015,4,1.0
