ANNO,MES,PROVINCIAS,CERO,ECO,B,C,PROVINCIA
2017,1,Álava,3,25,12,445,1
2018,1,Álava,4,38,15,548,1
2019,1,Álava,3,47,9,550,1
2017,10,Álava,3,30,14,532,1
2018,10,Álava,3,36,14,524,1
2019,10,Álava,4,50,10,587,1
2017,11,Álava,4,32,15,569,1
2018,11,Álava,3,36,14,513,1
2019,11,Álava,3,48,9,557,1
2017,12,Álava,3,30,14,533,1
2018,12,Álava,4,37,14,534,1
2019,12,Álava,4,50,10,587,1
2017,2,Álava,3,28,13,501,1
2018,2,Álava,4,40,15,581,1
2019,2,Álava,4,49,10,572,1
2017,3,Álava,4,36,17,651,1
2018,3,Álava,4,46,18,668,1
2019,3,Álava,4,60,12,699,1
2017,4,Álava,3,30,14,534,1
2018,4,Álava,4,44,17,628,1
2019,4,Álava,4,59,12,684,1
2017,5,Álava,4,37,18,667,1
2018,5,Álava,5,50,19,726,1
2019,5,Álava,5,63,12,731,1
2017,6,Álava,4,39,18,693,1
2018,6,Álava,5,52,20,753,1
2019,6,Álava,5,64,13,744,1
2017,7,Álava,4,34,16,600,1
2018,7,Álava,5,49,19,703,1
2019,7,Álava,4,60,12,697,1
2017,8,Álava,3,23,11,410,1
2018,8,Álava,4,40,15,571,1
2019,8,Álava,3,39,8,457,1
2017,9,Álava,3,26,13,472,1
2018,9,Álava,3,29,11,423,1
2019,9,Álava,3,43,8,497,1
2017,1,Albacete,1,20,13,381,2
2018,1,Albacete,2,27,23,528,2
2019,1,Albacete,2,39,15,531,2
2017,10,Albacete,1,24,16,455,2
2018,10,Albacete,1,26,22,505,2
2019,10,Albacete,2,41,16,568,2
2017,11,Albacete,1,25,17,488,2
2018,11,Albacete,1,26,21,494,2
2019,11,Albacete,2,39,16,541,2
2017,12,Albacete,1,24,16,457,2
2018,12,Albacete,1,27,22,515,2
2019,12,Albacete,2,41,16,568,2
2017,2,Albacete,1,22,15,429,2
2018,2,Albacete,2,29,24,560,2
2019,2,Albacete,2,40,16,556,2
2017,3,Albacete,2,29,19,558,2
2018,3,Albacete,2,33,28,643,2
2019,3,Albacete,3,49,20,678,2
2017,4,Albacete,1,24,16,458,2
2018,4,Albacete,2,31,26,606,2
