mes,CAMIONES<=3500,FURGONETAS,CAMIONES>3500,AUTOBUSES,TURISMOS,MOTOCICLETAS,TRACTORES_INDUSTRIALES,OTROS_VEHÍCULOS,TOTAL,%,ANNO
ENERO,5050.0,10361.0,988.0,359.0,102581.0,11636.0,1843.0,713.0,133531,7.45,2019
FEBRERO,6039.0,9712.0,809.0,326.0,109346.0,11311.0,1275.0,737.0,139555,7.78,2019
MARZO,6587.0,10865.0,881.0,347.0,133418.0,15833.0,1206.0,999.0,170136,9.49,2019
ABRIL,6951.0,9951.0,886.0,332.0,130266.0,15806.0,1143.0,1306.0,166641,9.29,2019
MAYO,6389.0,11499.0,1148.0,397.0,137059.0,18792.0,1512.0,1072.0,177868,9.92,2019
JUNIO,6450.0,11219.0,1235.0,298.0,140412.0,19342.0,1818.0,1121.0,181895,10.1,2019
JULIO,6193.0,11146.0,913.0,206.0,127474.0,21271.0,1159.0,1141.0,169503,9.45,2019
AGOSTO,4419.0,9714.0,750.0,167.0,82541.0,12266.0,768.0,651.0,111276,6.21,2019
SEPTIEMBRE,3852.0,8329.0,574.0,473.0,90257.0,15706.0,1361.0,471.0,121023,6.75,2019
OCTUBRE,4937.0,10804.0,961.0,344.0,105050.0,16974.0,3277.0,609.0,142956,7.97,2019
NOVIEMBRE,4637.0,10551.0,931.0,224.0,102875.0,13803.0,2057.0,696.0,135774,7.57,2019
DICIEMBRE,5247.0,9872.0,722.0,177.0,114102.0,11187.0,1091.0,589.0,142987,7.97,2019
TOTAL,66751.0,124023.0,10798.0,3650.0,1375381.0,183927.0,18510.0,10105.0,1793145,100.0,2019
PORCENTAJE,3.72,6.92,0.6,0.2,76.7,10.26,1.03,0.56,100,100.0,2019
ENERO,5281.0,9904.0,882.0,372.0,109890.0,11178.0,1812.0,543.0,139862,7.64,2018
FEBRERO,6106.0,9430.0,819.0,374.0,119675.0,9765.0,1514.0,661.0,148344,8.1,2018
MARZO,6537.0,10463.0,933.0,369.0,137809.0,11964.0,1505.0,991.0,170571,9.31,2018
ABRIL,6708.0,10472.0,954.0,309.0,125659.0,14159.0,1385.0,756.0,160402,8.76,2018
MAYO,7018.0,11847.0,1040.0,318.0,145148.0,17562.0,1335.0,862.0,185130,10.1,2018
JUNIO,6849.0,12688.0,1037.0,235.0,151780.0,17793.0,1285.0,1013.0,192680,10.5,2018
JULIO,6665.0,11896.0,1059.0,239.0,139407.0,18262.0,1246.0,941.0,179715,9.81,2018
AGOSTO,5793.0,9703.0,787.0,96.0,115021.0,12627.0,1164.0,529.0,145720,7.96,2018
SEPTIEMBRE,4284.0,8897.0,661.0,650.0,76239.0,15593.0,1309.0,420.0,108053,5.9,2018
OCTUBRE,5809.0,11352.0,914.0,358.0,97098.0,15070.0,2470.0,580.0,133651,7.3,2018
NOVIEMBRE,5475.0,10922.0,885.0,245.0,100103.0,10827.0,1833.0,644.0,130934,7.15,2018
DICIEMBRE,5839.0,10753.0,710.0,283.0,106929.0,10394.0,1086.0,500.0,136494,7.45,2018
TOTAL,72364.0,128327.0,10681.0,3848.0,1424758.0,165194.0,17944.0,8440.0,1831556,100.0,2018
PORCENTAJE,3.95,7.01,0.58,0.21,77.79,9.02,0.98,0.46,100,100.0,2018
ENERO,4212.0,8046.0,745.0,283.0,91994.0,7390.0,1712.0,370.0,114752,6.73,2017
FEBRERO,5093.0,7112.0,739.0,245.0,106654.0,7531.0,1428.0,434.0,129236,7.58,2017
MARZO,6778.0,10525.0,940.0,350.0,135562.0,11597.0,1593.0,705.0,168050,9.86,2017
ABRIL,5197.0,8250.0,741.0,382.0,109462.0,11939.0,1136.0,687.0,137794,8.09,2017
MAYO,6157.0,10419.0,889.0,348.0,136242.0,15058.0,1447.0,687.0,171247,10.1,2017
JUNIO,6485.0,10284.0,970.0,316.0,141357.0,17506.0,1490.0,777.0,179185,10.5,2017
JULIO,5788.0,9876.0,975.0,233.0,119808.0,15994.0,1414.0,728.0,154816,9.08,2017
AGOSTO,4356.0,7263.0,776.0,171.0,80567.0,11099.0,1121.0,426.0,105779,6.21,2017
SEPTIEMBRE,4678.0,9092.0,660.0,705.0,91482.0,13078.0,1595.0,358.0,121648,7.14,2017
OCTUBRE,5618.0,10339.0,822.0,348.0,103838.0,13044.0,2736.0,450.0,137195,8.05,2017
NOVIEMBRE,6108.0,10792.0,847.0,338.0,113783.0,11991.0,2497.0,522.0,146878,8.62,2017
DICIEMBRE,5617.0,9039.0,609.0,319.0,111262.0,8728.0,1565.0,426.0,137565,8.07,2017
TOTAL,66087.0,111037.0,9713.0,4038.0,1342011.0,144955.0,19734.0,6570.0,1704145,100.0,2017
PORCENTAJE,3.88,6.52,0.57,0.24,78.75,8.51,1.16,0.39,100,100.0,2017
