ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2017,1,Albacete,1,20,13,381
2018,1,Albacete,2,27,23,528
2019,1,Albacete,2,39,15,531
2017,10,Albacete,1,24,16,455
2018,10,Albacete,1,26,22,505
2019,10,Albacete,2,41,16,568
2017,11,Albacete,1,25,17,488
2018,11,Albacete,1,26,21,494
2019,11,Albacete,2,39,16,541
2017,12,Albacete,1,24,16,457
2018,12,Albacete,1,27,22,515
2019,12,Albacete,2,41,16,568
2017,2,Albacete,1,22,15,429
2018,2,Albacete,2,29,24,560
2019,2,Albacete,2,40,16,556
2017,3,Albacete,2,29,19,558
2018,3,Albacete,2,33,28,643
2019,3,Albacete,3,49,20,678
2017,4,Albacete,1,24,16,458
2018,4,Albacete,2,31,26,606
2019,4,Albacete,3,48,19,663
2017,5,Albacete,2,29,20,571
2018,5,Albacete,2,36,30,699
2019,5,Albacete,3,51,21,708
2017,6,Albacete,2,31,21,594
2018,6,Albacete,2,38,31,726
2019,6,Albacete,3,52,21,722
2017,7,Albacete,1,27,18,514
2018,7,Albacete,2,35,29,678
2019,7,Albacete,3,49,20,674
2017,8,Albacete,1,18,12,351
2018,8,Albacete,2,28,24,550
2019,8,Albacete,2,32,13,444
2017,9,Albacete,1,21,14,404
2018,9,Albacete,1,21,18,407
2019,9,Albacete,2,35,14,482
2017,1,Alicante,6,118,227,4477
2018,1,Alicante,14,194,282,6185
2019,1,Alicante,24,306,241,6299
2017,10,Alicante,8,142,272,5355
2018,10,Alicante,14,186,269,5910
2019,10,Alicante,25,327,257,6738
2017,11,Alicante,8,152,291,5734
2018,11,Alicante,13,182,264,5789
2019,11,Alicante,24,311,244,6401
2017,12,Alicante,8,142,273,5369
2018,12,Alicante,14,189,275,6032
2019,12,Alicante,25,327,257,6738
2017,2,Alicante,7,133,256,5043
2018,2,Alicante,15,206,299,6558
2019,2,Alicante,25,319,251,6580
2017,3,Alicante,9,173,333,6559
2018,3,Alicante,17,237,343,7538
2019,3,Alicante,31,390,306,8024
2017,4,Alicante,8,142,273,5382
2018,4,Alicante,16,223,323,7093
2019,4,Alicante,30,381,299,7855
2017,5,Alicante,9,177,341,6719
2018,5,Alicante,19,257,373,8193
2019,5,Alicante,32,407,320,8389
2017,6,Alicante,10,184,355,6985
2018,6,Alicante,20,267,387,8501
2019,6,Alicante,32,415,325,8541
2017,7,Alicante,8,160,307,6040
2018,7,Alicante,19,249,362,7943
2019,7,Alicante,31,388,305,7990
2017,8,Alicante,6,109,210,4131
2018,8,Alicante,15,202,293,6445
2019,8,Alicante,21,255,201,5251
2017,9,Alicante,7,126,241,4750
2018,9,Alicante,11,150,217,4777
2019,9,Alicante,22,277,218,5708
2017,1,Almería,1,30,72,698
2018,1,Almería,3,48,84,882
2019,1,Almería,2,64,75,889
2017,10,Almería,2,36,86,835
2018,10,Almería,3,46,80,843
2019,10,Almería,2,68,80,951
2017,11,Almería,2,39,93,894
2018,11,Almería,3,45,79,826
2019,11,Almería,2,65,76,903
2017,12,Almería,2,36,87,837
2018,12,Almería,3,47,82,860
2019,12,Almería,2,68,80,951
2017,2,Almería,2,34,81,787
2018,2,Almería,3,51,89,936
2019,2,Almería,2,66,78,927
2017,3,Almería,2,44,106,1023
2018,3,Almería,4,58,103,1076
2019,3,Almería,2,81,95,1132
2017,4,Almería,2,36,87,839
2018,4,Almería,3,55,97,1012
2019,4,Almería,2,79,93,1107
2017,5,Almería,2,45,108,1048
2018,5,Almería,4,63,112,1169
2019,5,Almería,2,85,100,1182
2017,6,Almería,2,47,113,1089
2018,6,Almería,4,66,116,1214
2019,6,Almería,2,86,101,1203
2017,7,Almería,2,41,98,942
2018,7,Almería,4,61,108,1134
2019,7,Almería,2,81,95,1126
2017,8,Almería,1,28,67,644
2018,8,Almería,3,50,87,920
2019,8,Almería,1,53,62,741
2017,9,Almería,1,32,77,741
2018,9,Almería,2,37,65,682
2019,9,Almería,2,58,68,805
2017,1,Álava,3,25,12,445
2018,1,Álava,4,38,15,548
2019,1,Álava,3,47,9,550
2017,10,Álava,3,30,14,532
2018,10,Álava,3,36,14,524
2019,10,Álava,4,50,10,587
2017,11,Álava,4,32,15,569
2018,11,Álava,3,36,14,513
2019,11,Álava,3,48,9,557
2017,12,Álava,3,30,14,533
2018,12,Álava,4,37,14,534
2019,12,Álava,4,50,10,587
2017,2,Álava,3,28,13,501
2018,2,Álava,4,40,15,581
2019,2,Álava,4,49,10,572
2017,3,Álava,4,36,17,651
2018,3,Álava,4,46,18,668
2019,3,Álava,4,60,12,699
2017,4,Álava,3,30,14,534
2018,4,Álava,4,44,17,628
2019,4,Álava,4,59,12,684
2017,5,Álava,4,37,18,667
2018,5,Álava,5,50,19,726
2019,5,Álava,5,63,12,731
2017,6,Álava,4,39,18,693
2018,6,Álava,5,52,20,753
2019,6,Álava,5,64,13,744
2017,7,Álava,4,34,16,600
2018,7,Álava,5,49,19,703
2019,7,Álava,4,60,12,697
2017,8,Álava,3,23,11,410
2018,8,Álava,4,40,15,571
2019,8,Álava,3,39,8,457
2017,9,Álava,3,26,13,472
2018,9,Álava,3,29,11,423
2019,9,Álava,3,43,8,497
2017,1,Asturias,4,53,39,1231
2018,1,Asturias,8,85,47,1519
2019,1,Asturias,17,124,35,1510
2017,10,Asturias,5,64,46,1473
2018,10,Asturias,8,81,45,1451
2019,10,Asturias,18,132,37,1615
2017,11,Asturias,5,68,49,1577
2018,11,Asturias,8,80,44,1421
2019,11,Asturias,18,126,35,1535
2017,12,Asturias,5,64,46,1476
2018,12,Asturias,8,83,46,1481
2019,12,Asturias,18,132,37,1615
2017,2,Asturias,4,60,43,1387
2018,2,Asturias,9,90,49,1610
2019,2,Asturias,18,129,36,1577
2017,3,Asturias,6,78,56,1804
2018,3,Asturias,10,104,57,1850
2019,3,Asturias,22,157,44,1925
2017,4,Asturias,5,64,46,1480
2018,4,Asturias,10,98,54,1742
2019,4,Asturias,21,154,43,1885
2017,5,Asturias,6,80,58,1847
2018,5,Asturias,11,113,62,2011
2019,5,Asturias,22,165,46,2012
2017,6,Asturias,6,83,60,1921
2018,6,Asturias,11,117,64,2088
2019,6,Asturias,23,168,47,2049
2017,7,Asturias,5,72,52,1661
2018,7,Asturias,11,109,60,1950
2019,7,Asturias,21,157,44,1916
2017,8,Asturias,4,49,36,1136
2018,8,Asturias,9,89,49,1583
2019,8,Asturias,15,103,29,1259
2017,9,Asturias,4,56,41,1306
2018,9,Asturias,6,66,36,1173
2019,9,Asturias,16,112,32,1370
2017,1,Badajoz,1,29,40,729
2018,1,Badajoz,8,46,46,956
2019,1,Badajoz,1,65,36,957
2017,10,Badajoz,1,35,48,872
2018,10,Badajoz,8,44,44,913
2019,10,Badajoz,2,70,39,1023
2017,11,Badajoz,1,37,52,933
2018,11,Badajoz,7,43,43,895
2019,11,Badajoz,2,66,37,972
2017,12,Badajoz,1,35,48,874
2018,12,Badajoz,8,45,45,932
2019,12,Badajoz,2,70,39,1023
2017,2,Badajoz,1,33,45,821
2018,2,Badajoz,8,49,49,1012
2019,2,Badajoz,2,68,38,999
2017,3,Badajoz,1,42,59,1068
2018,3,Badajoz,10,56,56,1164
2019,3,Badajoz,2,83,46,1218
2017,4,Badajoz,1,35,49,876
2018,4,Badajoz,9,53,53,1095
2019,4,Badajoz,2,81,45,1193
2017,5,Badajoz,1,44,61,1094
2018,5,Badajoz,11,61,61,1265
2019,5,Badajoz,2,87,49,1273
2017,6,Badajoz,1,45,63,1137
2018,6,Badajoz,11,63,64,1313
2019,6,Badajoz,2,88,49,1296
2017,7,Badajoz,1,39,54,983
2018,7,Badajoz,10,59,59,1226
2019,7,Badajoz,2,83,46,1214
2017,8,Badajoz,1,27,37,672
2018,8,Badajoz,8,48,48,995
2019,8,Badajoz,1,54,30,797
2017,9,Badajoz,1,31,43,773
2018,9,Badajoz,6,36,36,737
2019,9,Badajoz,1,59,33,866
2017,1,Baleares,12,99,38,2951
2018,1,Baleares,28,143,64,4126
2019,1,Baleares,48,208,55,4231
2017,10,Baleares,14,118,46,3530
2018,10,Baleares,27,137,61,3943
2019,10,Baleares,53,223,59,4525
2017,11,Baleares,15,127,49,3780
2018,11,Baleares,26,134,60,3862
2019,11,Baleares,51,212,56,4299
2017,12,Baleares,14,119,46,3538
2018,12,Baleares,27,140,62,4023
2019,12,Baleares,53,223,59,4525
2017,2,Baleares,13,112,43,3324
2018,2,Baleares,29,152,67,4375
2019,2,Baleares,52,218,58,4418
2017,3,Baleares,17,145,56,4323
2018,3,Baleares,34,175,77,5028
2019,3,Baleares,63,266,70,5389
